_ID_;_Peзультат загрузки_;Новый;Не заливать;;Штрих-код EAN-13;Носитель;Исходное название товара;Название товара;Треки;Кол-во носителей;Год;Вес;Лейбл;Жанр;Изображение;Коментарии
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;PIN;643;;;707;813;249;659;689;239;814;267;266
;;;;;809274477620;CD;A. HI-FI SERIOUS;A. Hi-Fi Serious;CD 1:|01. Nothing|02. Something's Going on|03. Six O' Clock on a Tube Stop|04. Going Down|05. Took It Away|06. Starbucks|07. The Springs|08. Shut Yer Face|09. Pacific Ocean Blue|10. The Distance|11. W.D.Y.C.a.I.|12. Hi-Fi Serious;1;2002;126;WEA;Rock;0809274477620.jpg;
;;;;;685738324026;CD;A. HOW ACE ARE BUILDINGS;A. How Ace Are Buildings;CD 1:|01. Turn It Up|02. Foghorn|03. Cheeky Monkey|04. No 1|05. Bad Idea|06. Sing-a-Long|07. Winter of '96|08. Out of Tune|09. Fistral|10. House Under the Ground|11. Five in the Morning|12. Ender;1;2002;126;WARNER BROTHERS;Rock;0685738324026.jpg;
;;;;;639842769525;CD;A. MONKEY KONG;A. Monkey Kong;CD 1:|01. For Starters|02. Monkey Kong|03. A|04. Old Folks|05. Hoppa Jonnus Fang|06. Summer on the Underground|07. Warning|08. If It Ain't Broke, Fix It Anyway|09. I (Love) Lake Tahoe Subs|10. Don't Be Punks|11. Down on the Floor|12. Jason's Addiction|13. Miles Away|14. Getting Around;1;2002;126;EAST-WEST/WEA;Rock;0639842769525.jpg;
;;;;;809274465320;CD;A. NOTHING;A. Nothing;CD 1:|01. Nothing|02. T-Shirt Money|03. Everybody In|04. Getting Me Off|05. The Distance;1;2002;126;WEAI;5-Inch CD Singles;0809274465320.jpg;
Например позиция не найдена;;;;;75597924121;;ABED AZRIE. AROMATES;;;;1999;126;EXPLORER;World;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
